,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,478,459.5616438,433.9561644,428.4328767,448.9781421,460.4136986,482.6219178,493.1972603,558.2759563,593.0082192,668.551,720.5500356,783.7026995,835.9643836,848.3899808,832.8070603,800.8231038,825.6981753,800.3786329,765.6972603,730.1174399,664.6935288,660.7966301,653.1839151,661.2152377,628.805474,613.3419616,576.0272712,551.1197896,539.9405096,532.1596795,532.2395178,510.5054399,479.6305893,489.5134259,507.4001763,480.3393882,513.5619013,582.6674585,635.3171682,
                NGPL (Mb/d),,,,,,,,,,,,35,35,39,41,40,40,40,38,42,47,52,55,55,57,57,62,62,93,95,111,130,142,145,131,118,120,123,102,103,104,104,108.5150685,112.3387978,115,132,138.6502329,128.4069454,130,130,130,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.7,3.9,13.89098907,23.46711507,37.59160274,50.94932329,53.36212842,49.34201918,65.18372603,53.15735616,71.18412568,80.21322234,71.74371893,65.24221384,36.97227463,52.82759189,62.56402247,41.42323,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,18,19,17,21,23,20,20,22.6032855,25.67287944,25.44239543,25.65203347,28.007,23.436,24.683,14.544,11.4485,13.8515,12.9285,13.3218,13.2402,11.6846,11.6987,11.3511,11.0089,11.4657,11.602,11.7667,11.1231,12.16504134,11.99601196,12.27840585,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
